date,open,high,low,close,volume,average,barCount
2022-12-30 12:57:20-05:00,121.35,121.35,121.32,121.32,512.0,121.334,5
2022-12-30 12:57:21-05:00,121.31,121.32,121.31,121.32,7879.0,121.31,3
2022-12-30 12:57:22-05:00,121.31,121.32,121.31,121.31,1748.0,121.313,9
2022-12-30 12:57:23-05:00,121.31,121.32,121.3,121.31,800.0,121.316,5
2022-12-30 12:57:24-05:00,121.32,121.33,121.32,121.32,220.0,121.322,2
2022-12-30 12:57:25-05:00,121.31,121.32,121.3,121.3,800.0,121.307,2
2022-12-30 12:57:26-05:00,121.3,121.32,121.3,121.31,1212.0,121.309,7
2022-12-30 12:57:27-05:00,121.31,121.31,121.31,121.31,500.0,121.31,1
2022-12-30 12:57:28-05:00,121.31,121.31,121.31,121.31,2539.0,121.31,3
2022-12-30 12:57:29-05:00,121.31,121.31,121.31,121.31,700.0,121.31,2
2022-12-30 12:57:30-05:00,121.31,121.32,121.3,121.3,1500.0,121.302,11
2022-12-30 12:57:31-05:00,121.3,121.3,121.29,121.29,1499.0,121.297,3
2022-12-30 12:57:32-05:00,121.3,121.31,121.29,121.31,1300.0,121.304,7
2022-12-30 12:57:33-05:00,121.31,121.36,121.3,121.36,4608.0,121.342,22
2022-12-30 12:57:34-05:00,121.36,121.36,121.35,121.36,1100.0,121.359,2
2022-12-30 12:57:35-05:00,121.36,121.37,121.35,121.35,479.0,121.359,3
2022-12-30 12:57:36-05:00,121.34,121.37,121.33,121.37,1077.0,121.345,6
2022-12-30 12:57:37-05:00,121.34,121.34,121.34,121.34,245.0,121.34,2
2022-12-30 12:57:38-05:00,121.34,121.36,121.33,121.36,2009.0,121.345,10
2022-12-30 12:57:39-05:00,121.36,121.36,121.36,121.36,0.0,121.36,0
2022-12-30 12:57:40-05:00,121.38,121.44,121.37,121.42,7542.0,121.426,20
2022-12-30 12:57:41-05:00,121.43,121.43,121.41,121.41,2250.0,121.413,5
2022-12-30 12:57:42-05:00,121.4,121.4,121.38,121.38,1750.0,121.393,8
2022-12-30 12:57:43-05:00,121.39,121.39,121.38,121.38,2410.0,121.382,6
2022-12-30 12:57:44-05:00,121.38,121.38,121.37,121.38,1564.0,121.38,7
2022-12-30 12:57:45-05:00,121.37,121.37,121.35,121.36,2425.0,121.361,15
2022-12-30 12:57:46-05:00,121.37,121.37,121.36,121.36,710.0,121.361,2
2022-12-30 12:57:47-05:00,121.36,121.36,121.36,121.36,0.0,121.36,0
